manufacturer,model,curent_model-year,vehicle_type,tax_credit_amount,msrp_limit
AUDI,Q5 TFSI E QUATTRO (PHEV),2023,PHEV,7500,80000
BMW,330E,2023,PHEV,5836,55000
BMW,X5 XDRIVE45E,2023,PHEV,7500,80000
BMW,X5 XDRIVE50E,2024,PHEV,7500,80000
CADILLAC,LYRIQ,2024,EV,7500,80000
CHEVROLET,BOLT EV,2024,EV,7500,55000
CHEVROLET ,SILVERADO EV,2024,EV,7500,80000
CHRYSLER,PACIFICA PHEV,2023,PHEV,7500,80000
FORD,E-TRANSIT,2023,EV,7500,80000
FORD,ESCAPE PLUG-IN HYBRID,2022,PHEV,6843,80000
FORD,ESCAPE PLUG-IN HYBRID,2023,PHEV,6885,80000
FORD,F-150 LIGHTNING,2023,EV,7500,80000
FORD,MUSTANG MACH-E,2023,EV,7500,80000
GENESIS,ELECTRIFIED GV70,2024,EV,7500,80000
JEEP,GRAND CHEROKEE 4XE,2024,PHEV,7500,80000
JEEP,WRANGLER 4XE,2024,PHEV,7500,80000
LINCOLN,AVIATOR GRAND TOURING,2024,PHEV,6534,80000
LINCOLN,CORSAIR GRAND TOURING,2022,PHEV,6843,80000
LINCOLN,CORSAIR GRAND TOURING,2023,PHEV,6885,80000
MERCEDES-BENZ,EQE 350 SUV,2023,EV,7500,80000
NISSAN,LEAF,2023,EV,7500,55000
RIVIAN,R1S,2023,EV,7500,80000
RIVIAN,R1T,2023,EV,7500,80000
TESLA,MODEL 3,2023,EV,7500,55000
TESLA,MODEL Y,2023,EV,7500,80000
VOLKSWAGEN,ID.4,2023,EV,7500,80000
VOLKSWAGEN,ID.4 AWD PRO,2023,EV,7500,80000
VOLKSWAGEN,ID.4 AWD PRO S,2023,EV,7500,80000
VOLKSWAGEN,ID.4 PRO,2023,EV,7500,80000
VOLKSWAGEN,ID.4 PRO S,2023,EV,7500,80000
VOLKSWAGEN,ID.4 S,2023,EV,7500,80000
VOLVO,S60 (PHEV),2022,PHEV,5419,55000
VOLVO,S60 EXTENDED RANGE,2022,PHEV,7500,55000
VOLVO,S60 T8 RECHARGE (EXTENDED RANGE),2023,PHEV,7500,55000
